Korean,English,score
그 새로운 룸메랑은 청소 당번을 정했대!,That new roommate has decided who will do the cleaning duty!,1
다행이다,thank god,1
이번에는 잘 지냈으면 좋겠네,I hope you do well this time,1
너네집은 알바하는 곳이랑 많이 멀어?,Is your house very far from your part-time job?,1
가깝진 않은 거 같아,I don't think it's close,1
한 20분에서 30분?,About 20 to 30 minutes?,1
걸어서 20분 아니면 차 타고 20분?,20 minutes on foot or 20 minutes by car?,1
걸어서는 못 가고 버스 타고 그 정도 걸려,"I can't go on foot, so I'll take the bus and it'll take about that long.",1
그렇구나,I see,1
버스비도 만만치 않겠어!,Bus fare won't be cheap either!,1
맞아,that's right,1
한달에 한 4-5만원 나와 ㅠ,I get about 40-50 thousand won a month ㅠ,1
홀 ㅜㅜ 버스비가 지금 얼마지?,"Oh my gosh, how much is the bus fare now?",1
지금 아마 1500 정도 했나,I think it's around 1500 now,1
"와 엄청 비싸졌다, 라떼는 1100원이었는데!","Wow, it got so expensive, a latte used to be 1100 won!",1
맞아,that's right,1
인정,admit,1
나도 어렸을 땐 그 정도 했었던 거 같아,I think I did that when I was young too,1
키키 너 어렸을 때도 버스카드가 있었어?,"Kiki, did you have a bus card when you were young?",1
어 있었나?,How have you been?,1
기억이 잘 안나 ㅠ,I don't remember very well ㅠ,1
라떼는 토큰이라는 게 있었어!,Latte had something called a token!,1
그게 뭐야?,What is that?,1
토큰?,token?,1
신기하네,That's amazing,1
버스표 같은 거야!,It's like a bus ticket!,1
너 버스표 알아?,Do you know the bus ticket?,1
버스표는 알지,I know the bus ticket,1
시외버스에서도 주는 걸?!,They even give it to you on intercity buses?!,1
너 알바 다닌 지 얼마나 됐어?,How long have you been working part-time?,1
알바 이제 4개월 정도 됐어,I've been working part-time for about 4 months now,1
너 거기 계약서는 작성했어?,Did you sign the contract there?,1
그럼 그럼,Okay then,1
주휴수당까지 다 받고 있어,I'm even receiving holiday pay,1
너 그러면 거기 1년 다니면 알바여도 퇴직금 있는 거 알아?,"Do you know that if you work there for a year, you get severance pay even if you work part-time?",1
아 그래?,Oh really?,1
알반데 그걸 줘?,"Albande, can you give me that?",1
알바여도 1년 이상 다니면 퇴직금 있어!,"Even if you work part-time, if you work for more than a year, you get severance pay!",1
나도 한 번 사장님한태 물어봐야겠다!,I should ask the boss about it too!,1
한번 네이버에 쳐서 조건이 맞는지 알아 봐!,Just type it into Naver and see if the conditions are right for you!,1
그래 그래,Yeah yeah,1
고마워,thank you,1
한 번 알아볼게,Let me find out,1
내가 알기론 주에 15시간 이상 다녀야 할 거야!,"As far as I know, it's going to take more than 15 hours a week!",1
그럼 나도 1년 지나면 받을 수 있겠다 ㅎ,Then I guess I can get it after a year too lol,1
그렇지!,yes!,1
너 지금 4대보험은 떼고 있어?,Are you currently deducting the 4 major insurances?,1
아니 소득세였나 그거만 떼고 있어,"No, it was income tax, they're just deducting that",1
그렇구나,I see,1
그러면 한 번 알아 봐!,"Well then, let's find out!",1
그래,okay,1
알겠어,okay,1
고마워,thank you,1
알아볼게,I'll find out,1
너 친구 면회 갔다와본 적 있어?,Have you ever been to a friend's visit?,1
아니 아니,No no,1
가본 적 없어! 하하,I've never been there! Haha,1
남자인 친구들 군대는 다 갔다 왔지?,"All of your male friends have been in the military, right?",1
그렇긴 한데 동생들은 이번에 전역하더라,"That's true, but my younger brothers were discharged from the military this time.",1
와 진짜 빠르다,"Wow, that's really fast.",1
걔네 다 휴가 못 가서 조기전역 한 거일 걸?,I guess they all got discharged early because they couldn't go on vacation?,1
어 맞아,Oh right,1
생각보다 너무 빨리 나오더라구,It came out much faster than I thought,1
키키 맞아,Kiki is right,1
1년 6개월이면 애들 다 나온대!,They say all the kids will be out in 1 year and 6 months!,1
아니,no,1
들어간 지 얼마 안된 거 같은데 벌써 나오더라고!,"It feels like I just came in, but I'm already out!",1
키키 근데 걔네들은 그 날만 기다리고 있었을 거야!,Kiki But they must have been waiting for that day!,1
키키 그러겠지,"Kiki, I guess so",1
맨날 곡소리 내더라 ㅠㅠ,He was always crying ㅠㅠ,1
키키 맞아,Kiki is right,1
인스타 보면 스토리에 며칠 남았는지 맨날 올리더라!,"If you look at Instagram, they always post on their stories how many days are left!",1
맞아,that's right,1
진짜 국룰 왜 자꾸 올리는 거야...,"Seriously, why do you keep raising the national rules...",1
"키키 걔네는 거기 있으면 시간이 안 간대,","Kiki, they say time doesn't pass when they're there.",1
키키 아 그래서 올리는 거구나,"Kiki, so that's why you're uploading it",1
안타깝네,That's too bad,1
어 맞아 ㅋ,Oh right lol,1
내 사촌동생도 맨날 그거 올려,My cousin uploads that all the time too,1
나도 아는 동생이 자꾸 올리더라,A younger friend of mine keeps posting this,1
너는 요즘에 하고 있는 공부 있어?,Are you studying anything these days?,1
난 요즘 운전면허 해보려고,I'm trying to get my driver's license these days.,1
아직 학원은 안 가본 거고?,You haven't been to school yet?,1
어 좀 무서워서 알아보기만 하고 등록은 안 했어,"Oh, I was a little scared, so I just looked into it and didn't register.",1
라떼는 학원비가 50만 원 정도였는데 지금은 얼마나 하려나?,"Latte's tuition used to be around 500,000 won, but how much is it now?",1
헐 진짜 싸다,"Wow, it's really cheap",1
나는 80만원 정도 하더라,"I paid about 800,000 won",1
헐 시세가 그렇게나 많이 올랐단 말이야!?,"Wow, the price went up that much!?",1
어 이번에 운전면허 어려워지고 올랐다더라,"Oh, I heard that getting a driver's license has gotten harder this time.",1
나는 어려워지기 전에 바로 땄지!,I got it right before it got difficult!,1
그게 좋았으려나 ㅠㅠ,I wonder if that would be good ㅠㅠ,1
어려울 때 따야 사고 덜 날 거 같아서 기다렸는데,I waited because I thought I would have less accidents if I followed through when things were difficult,1
키키 어렵거나 안 어렵거나 충분한 연습을 많이 하고 실전에 나와야 해!,"Kiki, whether it's difficult or not, you have to practice a lot and then go out into the real world!",1
맞아,that's right,1
그게 제일 중요한 거 같아 ㅠㅠ,I think that's the most important thing ㅠㅠ,1
나도 시험 보기 전에 아빠 차로 한달 맹훈련 했어!,I also trained hard for a month in my dad's car before taking the exam!,1
헐 진짜 ?,Oh really?,1
나도 그렇게 해봐야 되나,Should I try that too?,1
근데 나는 1종이어서 너는 그냥 거기서 배우는 대로 하면 될 걸?,"But I'm only a first-class student, so you can just do whatever you learn there, right?",1
아 엄청 어려운 걸로 땄네,"Oh, I got it as a really difficult one",1
어머님은 하시는 일이 뭐야?,What does your mother do?,1
엄마는 일을 안하고 주부로 계셔 !,My mom doesn't work and is a housewife!,1
그렇구나,I see,1
우리 어무니는 코로나 때문에  짤렸어 ㅜㅜ,My mom got fired because of corona ㅜㅜ,1
헐 맞아 요즘 그런 사람들 많더라 너무해 ㅠ,"Wow, that's right. There are a lot of people like that these days. It's too much.",1
요즘 그런 사람들 많더라,There are a lot of people like that these days,1
너무해 ㅠ,It's too much ㅠ,1
맞아,that's right,1
나이도 있어서 이제 다른 곳에 취업이 잘 안 돼 ㅜ,I'm getting older so it's hard to find a job anywhere else now ㅜ,1
맞아,that's right,1
우리 엄마도 원래 취업 해보려다가 말으셨대 ㅠ,My mom originally tried to get a job but gave up ㅠ,1
맞아,that's right,1
공장도 요즘에 텃세가 너무 심해서 아무나 못 간대 ㅜ,"These days, factories are so territorial that not just anyone can go there.",1
텃세는 왜 부리는 거지,Why are you being so territorial?,1
너무하다,It's too much,1
약간 그들만의 리그 같은 느낌으로 생각하면 될 거 같아,I think you can think of it as a bit of a league of their own.,1
키키 일도 몰빵일텐데 새로운 사람들한테 잘 좀 해주지,"Kiki's work is probably messed up too, so please treat new people well.",1
맞아,that's right,1
조금이라도 손 느리면 뭐라고 막 한대!,"If you're even a little slow, they'll say something!",1
처음인데 어떻게 잘하냐구요 ㅠㅠ 너무하다 진짜,"It's my first time, how can I do this well? ㅠㅠ This is really too much",1
그러니까 ㅜㅜ,So ㅜㅜ,1
째뜬 우리 엄마는 지금 집에 있는지 1년이 넘었어 ㅜ,My mom has been home for over a year now.,1
우리 엄마도 그래 ㅠ,My mom is like that too ㅠ,1
그래도 요즘 코로나라서 무서운데 집에 계시는 게 낫지!,"But these days, it's scary because of the coronavirus, so it's better to stay at home!",1
그건 인정 키키,I admit that Kiki,1
니 말대로 차라리 집에 있는 게 나!,"Like you said, I'd rather stay home!",1
맞아,that's right,1
걱정이 덜 되긴 해,I'm less worried now,1
너는 처음 연애했을 때가 언제였어?,When was your first relationship?,1
처음 연애는 중학교였을 걸?,Your first love was probably in middle school?,1
너네는 남녀공학이었지?,"You guys were a coed school, right?",1
"우리는 그런 거 없다,","We don't have that,",1
어어 나는 남녀 공학이었지 하하,Oh my I was in a co-ed school haha,1
같은 반 친구랑 사귀게 된 거야?,Are you dating a classmate?,1
어 맞아,Oh right,1
같이 지내다 보니까 그런 거 같아,I think it's like that because we spend time together,1
아 그때 그 애랑 짝꿍이었어?,"Oh, you were partners with that kid back then?",1
그건 아니었구 같이 놀다 보니까 친해졌어!,That wasn't it. We became close as we played together!,1
키키 걔랑은 지금도 연락하고 지내?,"Kiki, are you still in touch with her?",1
아니,no,1
연락 다 끊어버렸지 하하,I cut off all contact haha,1
왜? 그때 안 좋게 헤어졌어?,Why? Did we break up on bad terms back then?,1
아니,no,1
그건 아니고 자연스럽게 멀어진 거 같아,"No, I think we just drifted apart naturally",1
그렇구나,I see,1
그때가 몇학년 때였어?,What grade were you in at that time?,1
아마 중학교 2학년이었을 거야,I think I was in the second year of middle school,1
와 진짜 좋을 때다,"Wow, this is a really good time",1
우리 지역은 공학 같은 거 없었어!,There was no such thing as engineering in our area!,1
헐 진짜?,Oh really?,1
공학이 아예 없었구나,There was no engineering at all,1
너는 그러면 앞으로도 반려동물 키울 생각은 없어?,"So, do you have any plans to keep a pet in the future?",1
어 아직까지는 없어,"Oh, not yet",1
그리고 주변에 키우는 사람들이 있어서 괜찮은 거 같아,And I think it's okay because there are people around me who raise them.,1
그렇구나,I see,1
그러면 너는 애완돌을 키워보는 건 어때?,"Then, how about raising a pet rock?",1
"애완돌은 사람들이 왜 키우는 거야,?",Why do people keep pets?,1
근데 요즘 애완돌이 엄청 인기래!,"But these days, pet dolls are really popular!",1
도대체 왜 인기일까?,Why on earth is it so popular?,1
알 수 없네 ㅠㅠ,I don't know ㅠㅠ,1
키키 혼자 살면 쓸쓸한데 동물을 키우기에는 여건이 안 돼서 그렇대!,"Kiki says it's lonely living alone, but it's not a good environment to raise animals!",1
그럼 돌 말고 그냥 컵에도 애완컵해서 키우면 되는 거 아니야?,"Then, instead of a rock, why don't you just raise it in a cup?",1
키키 애완 컵?,Kiki's pet cup?,1
그거는 쫌 신기한데?,"That's a bit strange, isn't it?",1
컵이 더 나은 거 같아,I think the cup is better,1
"돌은 좀... 그렇네,","The stone is a bit... ok,",1
키키 차라리 애완식물을 키우는 게 낫지 않을까 컵보다?,"Kiki, wouldn't it be better to have a pet plant rather than a cup?",1
와 그게 좋은 거 같다,"Wow, that sounds good",1
식물은 좋은 거 같아!,Plants sound good!,1
나는 방울토마토 키울 거야!,I'm going to grow cherry tomatoes!,1
방토 좋아하거든!,I like the room!,1
헐 맛있겠다,"Wow, this looks delicious",1
근데 키우기 어렵지 않아?,But isn't it difficult to raise them?,1
아니,no,1
햇빛이랑 물만 잘 주면 되더라!,All you need is sunlight and water!,1
알아서 잘 자라나 보네,Looks like you're growing up well,1
너는 배드민턴 잘 칠 수 있어?,Are you good at badminton?,1
잘 치는 건 모르겠어,I don't know how to hit it well,1
애들은 그냥 그렇대,Kids are just like that,1
학생 때 체육 시간 실기 시험으로 배드민턴 치기 없었어?,"When you were a student, wasn't there a physical education class where you had to play badminton as a practical test?",1
아 있었는데 그렇게 열심히 안했어서 ㅠㅠ,"Ah, but I didn't try that hard ㅠㅠ",1
키키 나는 실기시험 에이 맞았었어!,Kiki I got an A on the practical test!,1
우와,wow,1
배드민턴 잘 치나 보다!,You must be good at badminton!,1
이거는 잘 치는 것보다 상대방이랑 팀워크가 중요해!,This is more about teamwork with your opponent than just hitting well!,1
아 서로 왔다갔다 하는 게 중요한가 보네!,"Ah, I guess going back and forth is important!",1
맞아 키키,Yeah Kiki,1
왔다갔다 30번 하면 에이였거든!,"If you go back and forth 30 times, it's A!",1
헐 그거 시험이 너무 어려운데,"Wow, that test is so difficult.",1
공을 최대한 높고 멀리 쳐줘야 해!,You have to hit the ball as high and far as possible!,1
완전 꿀팁이네,This is a really good tip.,1
내 친구도 요즘 자꾸 배드민턴 치자더라,My friend keeps telling me to play badminton these days.,1
키키 지금은 좀 추워서 어렵고 날 풀리면 쳐!,"Kiki It's a little cold right now so it's difficult, but when you let me out, hit me!",1
나중에 나도 배드민턴 쳐야겠다 하하,I should play badminton later too haha,1
키키 나도 오랜만에 배드민턴 언니한테 치자고 해야지!,"Kiki, I should ask my badminton sister to play with me after a long time!",1
그래 그래,Yeah yeah,1
우리 같이 운동해보자 !,Let's exercise together!,1
너 오늘은 어떤 게임 했어?,What game did you play today?,1
오늘은 카트라이더 게임 했어 하하,I played Kart Rider today haha,1
키키 친구랑 같이 한 거야?,Did you do it with your friend Kiki?,1
어어 맞아,Oh yeah right,1
친구랑 같이했는데 내가 계속 이겼어,I played with a friend and I kept winning,1
오 아이템전으로 한 거야?,"Oh, you did it with the item display?",1
그럼 당연하지,Of course it is,1
내가 다 걸리게 만들었어,I made it all happen,1
키키 물파리가 진짜 짜증나는 아이템이잖아!,Kiki's waterfly is a really annoying item!,1
맞아,that's right,1
내가 물파리는 친구한태 계속 날렸어 키키,I kept throwing flies at my friend Kiki,1
그거랑 동작키 반대로 하게 하는 아이템도 짜증나지!,That item that makes you do the opposite of the action key is also annoying!,1
아 악마 아이템?,"Oh, a devil item?",1
그것도 진짜 짜증나 ㅠ,That really annoys me too ㅠ,1
키키 맞아,Kiki is right,1
나는 그 ai랑 하는 거 좋아해!,I love playing with that ai!,1
너 그거 알아?,You know what?,1
그럼 그럼,Okay then,1
사람들은 너무 잘해서 나도 그렇게 해 ㅎ,"People are so good at it, I should do it too lol",1
맞아 키키,Yeah Kiki,1
그걸 배틀챌린저라고 하나?,Is that what you call a battle challenger?,1
이름은 잘 모루겠어 ㅠㅠ,I don't really know the name ㅠㅠ,1
맞지 않을까?,Wouldn't that be right?,1
그거 나 제외하고 7유저가 다 ai잖아!,"Excluding me, all 7 users are AI!",1
너무 좋은데?,It's so good?,1
내가 다 이길 수 있을 거 같아,I think I can win it all,1
키키 그거 우리팀 짜부시키는 ai 있잖아,"Kiki, there's an AI that's destroying our team.",1
그거 제일 짜증나!,That's the most annoying thing!,1
헐 그게 뭐야?,"Oh my god, what is that?",1
짜증나는 게 있네,There's something annoying,1
너는 최근에 편션 잡고 논 적 있어?,Have you been knitting recently?,1
어어 어디 나갈 수가 없어서 펜션 잡고 놀았었어,"Uh, I couldn't go anywhere so I stayed at a pension and played.",1
그렇구나,I see,1
어느 지역 가서 놀았어?,Which area did you go to play?,1
가까운 대부도나 가평 가서 놀았었어,I went to nearby Daebudo or Gapyeong to play.,1
가평은 빠지가 유명하지 않아?,Isn't Gapyeong famous for its ppaja?,1
어 맞아,Oh right,1
근데 난 물 무서워해서 방에만 있었어,But I was afraid of water so I just stayed in my room.,1
그렇구나 키키,"Oh, right, Kiki",1
펜션은 복층이었어?,Was the pension a duplex?,1
아니면 일반 펜션?,Or a regular pension?,1
복층 말고 독채로 갔었는데 2층짜리였어,"I went to a single-family home instead of a duplex, but it was two stories.",1
와 그때 누구랑 같이 갔어?,"Wow, who did you go with then?",1
친구들이랑 가서 맛있는 거 먹었지 하하,I went with my friends and ate delicious food haha,1
키키 와 대박,Kiki and daebak,1
독채면 되게 비싸지 않아?,Isn't it really expensive if you live alone?,1
어 그렇긴 한데 최대한 저렴한 곳으로 갔어!,"Oh, that's true, but I went to the cheapest place possible!",1
독채면 개인 풀장도 있었겠네?,"If it's a single-family home, there must be a private pool, right?",1
어 맞아 !,"Oh, right!",1
그래서 우리끼리 놀 수 있어서 편했어,So it was comfortable because we could play together,1
그렇겠다,I guess so,1
나도 친구들이랑 그렇게 놀고 싶다!,I want to play like that with my friends too!,1
언니도 나중에 가봐,"Sister, you should go later too",1
진짜 좋더라!,It was really good!,1
너는 겨울에 스키장 같은 곳으로 놀러 다녀?,Do you go to places like ski resorts in the winter?,1
가긴 가는데 스키도 잘 못 타는 거 같아,"I'm going to go, but I don't think I'm good at skiing.",1
진짜?,really?,1
거기 교육 시켜주지 않아?,Aren't they going to train you there?,1
그렇게까지 해서 탈 정도가 아니라서 그냥 애들이 알려줘,"It's not like it's worth it to do that, so just let the kids know",1
최근에는 언제 갔어,When was the last time you went?,1
작년에 갔어?,Did you go last year?,1
어 맞아,Oh right,1
작년에 가서 처음으로 보드 탔었어,I went last year and went snowboarding for the first time.,1
나도 작년에 처음 갔는데,I went there for the first time last year too,1
너 용인으로 갔어?,Did you go to Yongin?,1
어 어디더라,"Oh, where was it?",1
용인 말고 곤지암 쪽이었나?,"Was it Gonjiam, not Yongin?",1
곤지암?,Gonjiam?,1
수원이랑 곤지암이랑 가까워?,Is it close to Suwon and Gonjiam?,1
아니,no,1
그때 셔틀버스 있어서 거기로 갔을 거야,"There was a shuttle bus at that time, so I went there.",1
대박,oh my god,1
수원에서 곤지암까지 몇 시간 걸려?,How many hours does it take from Suwon to Gonjiam?,1
한시간에서 두시간 정도 걸릴 거야,It will take about an hour or two.,1
아 진짜?,Oh really?,1
근데 너 추위 잘 견뎌?,But can you stand the cold well?,1
아니,no,1
추위 엄청 잘타 ㅠㅠ,I catch the cold really easily ㅠㅠ,1
그래서 스키장 가면 빨리 돌아와,"So if you go to the ski resort, come back quickly",1
키키 오우 키키,Kiki oh kiki,1
나는 저번에 스키장 갔다가 감기 걸려서 왔잖아,I came back with a cold after going skiing last time.,1
헐 나도 가면 감기 걸릴 거 같아,"Wow, I think I'll catch a cold if I go too",1
이번에 어떤 노인이 신용카드를 주워서 막 썼대!,"This time, an old man found a credit card and used it!",1
맞아,that's right,1
그거 봤어,I saw that,1
근데 일부러 그런 거 아니던데... ㅜㅜ,But it wasn't on purpose... ㅜㅜ,1
맞아,that's right,1
"치매가 좀 있으신 분이었대,",I heard that he had some dementia.,1
그러니까,therefore,1
그래서 선처 해준 사람도 있긴 하더라,So there were some people who showed leniency,1
맞아,that's right,1
이번에 할머니가 땅을 보고 다니면서 떨어진 물건을 줍는 치매? 그런 게 있어서 우연히 이걸 줍고 막 쓰고 다녔대 ㅜ,"This time, my grandmother had dementia? She had something like that, she would pick up things that fell on the ground while walking around, so she happened to pick them up and just use them.",1
맞아,that's right,1
그러니까 ㅠㅠ,So ㅠㅠ,1
진짜 안타깝다 ㅠ,It's really a shame ㅠ,1
맞아 ㅜㅜ,Yeah ㅜㅜ,1
근데 걸려서 경찰서 간 와중에 자기 자식들이 자기 걱정할까 봐 말도 제대로 못했대 ㅜ,But he said that he couldn't speak properly because he was worried that his children would worry about him while he was on his way to the police station.,1
그 와중에 너무 착하시다 ㅠㅠ,"In the meantime, you are so kind ㅠㅠ",1
정신 없으셨을탠데 ㅠㅠ,You must have been out of your mind ㅠㅠ,1
맞아,that's right,1
근데 어쨌든 무단으로 사용하신 거라 회령에 의한 기소로 검찰에 송치했대 ㅜ,"But anyway, since you used it without permission, they sent you to the prosecution with an indictment by Hoeryong.",1
상황 보고 잘 선처해주면 좋겠다 ㅠㅠ,I hope you will take good care of the situation after seeing it. ㅠㅠ,1
맞아,that's right,1
피해자 두 분 중 한 명은 선처해주신다고 하더라!,They said they would show leniency to one of the two victims!,1
진짜 다행이다ㅠ,I'm so gladㅠ,1
다른 한 분은?,What about the other one?,1
그런데 다른 한 분은 경찰 조사 받느라 영업에 손실을 봤다고 수백만 원대 합의금을 요구했대 ㅜ,"But another person demanded a settlement amount of several million won, saying that he suffered a loss in business due to being investigated by the police.",1
아 그분도 힘드셨겠네 ㅠㅠ,"Oh, that must have been hard for him too ㅠㅠ",1
어쩔 수가 없다,I can't help it,1
맞아 ㅜㅜ,Yeah ㅜㅜ,1
그래서 할머니 아들인 이 기사 주인공이 230만 원을 주고 합의를 봤대!,"So, the main character of this article, who is the grandmother's son, settled for 2.3 million won!",1
그래도 많이 사용한 게 아니라서 다행이다!,"Still, it's a good thing I didn't use it that much!",1
와 이번에 중국이 미사일 발사 했다는 기사가 나왔대!,"Wow, there's an article saying that China launched a missile this time!",1
헐 진짜?,Oh really?,1
미사일은 왜 발사 했대?,Why was the missile launched?,1
이제 핵무기 개발을 계속 하고 있다는 거지!,Now they are continuing to develop nuclear weapons!,1
진짜 무섭다,It's really scary,1
전쟁을 하려고 하는 건가 ㅠㅠ,Are you trying to start a war? ㅠㅠ,1
얘 지금 대만이랑도 사이 안 좋고 호주랑도 사이 안 좋잖아!,This kid doesn't have good relations with Taiwan and Australia either!,1
그러게,I know,1
중국은 왜 이렇게 사이 안 좋은 나라가 많아 ㅠ,Why are there so many countries that China doesn't have good relations with?,1
"그러게 말이야,","That's what I'm saying,",1
이 미사일이 극초음속 미사일이라 엄청 빠르대!,"This missile is a hypersonic missile, so it's incredibly fast!",1
레이더망에도 안 잡힌대!,It's not even on radar!,1
와 그럼 쏘면 그냥 폭격 당하는 거네 ㅠ,"Wow, so if I shoot, I'll just get bombed?",1
맞아,that's right,1
지금 미국이 중국을 엄청 비난하고 있어!,The US is criticizing China a lot right now!,1
이렇게 우리나라도 기사 났으니까 한국도 중국 비난하겠는데?,"Since this article appeared in our country, will Korea also criticize China?",1
지금 우리는 핵무기도 없는데 주변국에서 무시무시한 걸 만들고 있으니까 당연히 그럴 수밖에!,"We don't have nuclear weapons now, but neighboring countries are making scary things, so of course it can't be helped!",1
그러니까,therefore,1
우리나라도 뭔가 대책이 필요할 거 같아 ㅠ,I think our country also needs some kind of countermeasure ㅠ,1
맞아 ㅜㅜ,Yeah ㅜㅜ,1
근데 우리는 핵무기를 만들지 않겠다고 선언을 했으니까 미국이 조취를 취해야 할텐데!,"But since we declared that we will not make nuclear weapons, the US should take action!",1
그러게,I know,1
미국이 잘 견제해줬으면 좋겠다,I hope the US will keep a close watch,1
키키 이거는 진짜 국제적으로 큰 문제가 있는 거 같아!,"Kiki, I think this is a really big international problem!",1
맞아,that's right,1
우리나라도 문제를 인식을 했으면 좋겠어,I wish our country would also recognize the problem,1
너 폼클렌징 어디꺼 써?,What foam cleanser do you use?,1
나 폼클렌징 미샤꺼 써,I use Missha's foam cleansing product,1
미샤?,Misha?,1
미샤는 대용량으로 많이 나오지?,Does Missha come in large quantities?,1
어 맞아,Oh right,1
그래서 그냥 사버렸어,So I just bought it,1
키키 나는 올영에서 폴클 두 개 사서 나눠 쓰고 있어!,Kiki I bought two Polkls from Olyoung and I'm sharing them!,1
오 올리브영이 좋은 게 다양하게 있어서 좋아,"Oh, I like Olive Young because they have a variety of good things.",1
맞아 키키,Yeah Kiki,1
아침에는 어성초 저녁에는 숯으로 쓰고 있음!,"In the morning, I use sesame oil, and in the evening, I use charcoal!",1
오 그렇게,Oh like that,1
나눠서 사용할 수도 있구나,You can use them separately,1
어 아침에 숯으로만 쓰면 얼굴이 엄청 당기더라!,"Oh, if I only use charcoal in the morning, my face gets really tight!",1
아 나도 그렇게 한 번 사용해봐야겠다,"Ah, I should try that too",1
키키 맞아,Kiki is right,1
어성초는 너 혹시 산성 폼클렌징이라고 알아?,"Oh Seong-cho, do you know about acid foam cleansing?",1
그거야!,That's it!,1
아니,no,1
그게 무슨 폼클렌징이야?,What kind of foam cleansing is that?,1
이거는 계면활성제 성분이 많이 없어서 얼굴이 많이 안 당겨!,"This doesn't contain a lot of surfactant ingredients, so it doesn't make your face feel tight!",1
아 이게 그 약산성?,"Oh, is this the weak acid?",1
그건가 보네,I see,1
맞아 맞아!,"Yeah, that's right!",1
대신에 세정력이 좀 떨어지는 느낌이긴 해!,"Instead, I feel like the cleansing power is a bit weak!",1
그럼 평소에 사용하기 딱 좋겠다!,Then it would be perfect for everyday use!,1
나 엊그제 회사에서 다쳐서 피났어!,I got injured at work the day before yesterday and I'm out of work!,1
헐 뭐야 힘든 일 했나 보네,"Wow, you must have had a hard time.",1
아니,no,1
나 음료수 따다가 베였어!,I got cut while pouring a drink!,1
아 뭐야 키키,Oh what is it Kiki,1
그런 거였어?,Was it like that?,1
많이 다친 거야?,Are you hurt badly?,1
키키 근데 많이 아파,Kiki but it hurts a lot,1
나는 타자를 많이 치는데 손가락을 베였어!,I type a lot and I cut my finger!,1
헐 그럼 힘들겠다 ㅠ,"Wow, that'll be hard ㅠ",1
