,Korean,English,score,conversation_fixed_result,Vanila_EXAONE_result,GPT-4_result,CLOVA-X_result,Claude_result
10,도는 학교시설을 통한 급식을 제공할 경우 사용하는 것이 원칙입니다,The principle is to use it when providing meals through school facilities.,2,원칙은 학교 시설을 통해 급식을 제공할 때 이를 사용하는 것입니다.,원칙은 학교 시설을 통해 급식을 제공할 때 이를 사용하는 것입니다.,학교 시설을 통한 식사 제공 시 사용하는 것이 원칙입니다.,학교 시설을 통해 식사를 제공할 때 사용하는 것이 원칙입니다.,원칙은 학교 시설을 통해 식사를 제공할 때 사용하는 것입니다.
11,자녀의 여권용 사진 한 매 또는 여유 분 필요합니다,You will need one passport size photo of your child or a spare.,2,자녀의 여권 사진 1매 또는 여분이 필요합니다.,아이의 여권 사진 한 장 또는 여분이 필요합니다.,자녀의 여권 사진 크기 사진 하나가 필요합니다.,자녀의 여권용 사진 한 장 또는 여분이 필요합니다.,자녀의 여권 사진 한 장 또는 여분의 사진이 필요할 것입니다.
12,네 다른 문의사항 있으십니까,Do you have any other questions?,2,다른 질문이 있으신가요?,다른 질문 있으신가요?,다른 질문 있으신가요?,다른 질문이 있으신가요?,다른 질문 있으신가요?
13,일반 학교가 아닌 다른 교육을 받았으면 좋겠어요,I wish I had received an education other than regular school.,2,정규 학교 외의 교육을 받았더라면 좋았을 텐데 싶습니다.,정규 학교 외의 교육을 받았기를 바랐어요.,정규 학교 외의 교육을 받았으면 좋았을 텐데요.,정규 학교 말고 다른 교육을 받았으면 좋았을 텐데요.,일반 학교 외의 교육을 받았으면 좋겠어요.
14,"괜찮아, 여기 방음 잘 돼","It's okay, it's soundproof here.",1,여기는 방음이 잘 되네요. 괜찮아요.,"괜찮아, 여기는 방음이야.","괜찮아요, 여기는 방음이 잘 돼요.","괜찮아요, 여기 방음이 잘 되어 있어요.","괜찮아요, 여기는 방음이 되어 있어요."
15,왔다갔다 30번 하면 에이였거든!,"If you go back and forth 30 times, it's A!",1,30번 왔다 갔다 하면 A야!,30번 왕복하면 A야!,왔다 갔다 30번 하면 A예요!,왔다 갔다 30번 하면 A예요!,30번 왕복하면 A예요!
16,그리고 확인하실 수 있는 경로에 대해 문의를 주셨습니다,And you asked about the path that can be confirmed,2,그리고 확인할 수 있는 경로에 대해 물으셨습니다.,그리고 확인할 수 있는 경로에 대해 물으셨습니다.,그리고 확인할 수 있는 경로에 대해 물어보셨죠.,그리고 확인할 수 있는 경로에 대해 물으셨죠,그리고 확인할 수 있는 경로에 대해 물어보셨죠
17,오빠 내가 보내 준 기사 봤어?,"Hey, did you see the article I sent you?",1,"야, 내가 보낸 기사 봤어?","야, 내가 보낸 기사 봤어?","야, 내가 보낸 기사 봤어?",제가 보낸 기사 보셨어요?,"야, 내가 보낸 기사 봤어?"
18,#@소속#이요 어디로 연락하면 되나요,#@Affiliation# Where can I contact you?,2,소속 기관에 연락할 수 있는 방법은 무엇인가요?,소속 기관에 연락할 수 있는 방법은 무엇인가요?,#@Affiliation# 연락할 곳은 어디인가요?,#@Affiliation# 어디로 연락드리면 될까요?,#@소속# 어디로 연락드려야 하나요?
19,제가 천안 터미널 번호 안내해 드리겠습니다,I will tell you the Cheonan terminal number.,2,천안 터미널 번호를 알려드리겠습니다.,저는 천안 터미널 번호를 알려드릴게요.,천안 터미널 번호를 알려드릴게요.,천안 터미널 번호를 알려드리겠습니다.,천안 터미널 번호를 알려드리겠습니다.
20,네 준비되실 때까지 기다리겠습니다,"Yes, I will wait until you are ready.",2,"네, 당신이 준비될 때까지 기다릴게요.","네, 네가 준비될 때까지 기다릴게.","네, 준비되실 때까지 기다리겠습니다.","네, 준비될 때까지 기다리겠습니다.","네, 준비될 때까지 기다리겠습니다."
21,아 진짜?,Oh really?,1,정말요?,정말요?,오 정말로?,오 정말요?,정말요?
22,언니는 지금 연애하고 싶은 맘 없어?,"Sister, don't you want to date right now?",1,"누나, 지금 데이트하고 싶지 않아?","언니, 지금 데이트하고 싶지 않아?","언니, 지금 연애하고 싶지 않아요?","언니, 지금 데이트하고 싶지 않아요?","언니, 지금 데이트 하고 싶지 않아?"
23,안녕하세요 오늘도 수고하십니다,"Hello, thank you for your hard work today.",2,"안녕하세요, 오늘 수고 많으셨습니다. 감사합니다.","안녕하세요, 오늘 수고 많으셨습니다. 감사합니다.","안녕하세요, 오늘도 수고하셨습니다.","안녕하세요, 오늘 수고 많으셨습니다.","안녕하세요, 오늘 수고 많으셨습니다."
24,네 괜찮아요 기다릴게요,"Yes, it's okay. I'll wait.",2,"네, 괜찮습니다. 기다리겠습니다.","네, 괜찮아요. 기다릴게요.","네, 괜찮아요. 기다릴게요.","네, 괜찮습니다. 기다리겠습니다.","네, 괜찮습니다. 기다리겠습니다."
25,몰라 근데 어디서 들어 봤는데...,"I don't know, but I heard it somewhere...",1,"저는 잘 모르겠지만, 어디선가 들었어요...",저는 잘 모르겠지만 어디선가 들었어요...,"모르겠지만, 어디선가 들었어요.",잘 모르겠지만 어디선가 들은 것 같아요...,"잘 모르겠지만, 어디서 들은 것 같아요..."
26,예 제가 좀 급하게 필요해서요,"Yes, I need it urgently.",2,"네, 그것이 시급히 필요합니다.","네, 그것이 시급히 필요합니다.","네, 급하게 필요합니다.","네, 급하게 필요합니다.","네, 긴급히 필요합니다."
27,맞아 ㅜㅜ,Yeah ㅜㅜ,1,네 ᅮᅮ,네 ᅮᅮ,네 ㅜㅜ,맞아ᅮᅮ,네 ㅜㅜ
28,14년식인가?,Is it a 14 year old model?,1,14살 모델이야?,14살 모델인가요?,14년식 모델인가요?,14세 모델인가요?,14살 모델인가요?
29,오리 농가 이동 제한과 관련된 피해 보상 관련이십니까,Are you interested in compensation for damages related to restrictions on movement of duck farms?,2,오리 농장의 이동 제한과 관련된 피해 보상에 관심이 있으신가요?,오리 농장의 이동 제한과 관련된 피해 보상에 관심이 있으신가요?,오리 농장 이동 제한 관련 보상에 관심 있으신가요?,오리 농장 이동 제한과 관련된 피해 보상에 관심이 있으신가요?,오리 농장 이동 제한과 관련된 손해 보상에 관심 있으신가요?
30,참여하지 않는 시간에는 개인 자율 활동을 진행합니다,"During non-participating times, I conduct personal autonomous activities.",2,참여하지 않는 시간에는 개인적으로 자율적인 활동을 합니다.,참여하지 않는 시간에는 개인적으로 자율적인 활동을 합니다.,참여하지 않는 시간에는 개인 자율 활동을 합니다.,비참여 시간에는 개인 자율 활동을 합니다.,비참여 시간에는 개인 자율 활동을 수행합니다.
31,저희 쪽에 계약부서로는 확인 어렵습니다,It is difficult for our contract department to confirm this.,2,저희 계약 부서에서는 이를 확인하기 어렵습니다.,우리 계약 부서에서는 이것을 확인하기 어렵습니다.,저희 계약 부서에서는 이를 확인하기 어렵습니다.,계약 부서에서는 이를 확인하기 어렵습니다.,계약 부서에서 이를 확인하기 어렵습니다.
32,그냥 편의점 알바인데 면접도 보더라고,"It was just a convenience store part-time job, but they even interviewed me.",1,"그건 그냥 편의점 아르바이트였는데, 면접까지 봤어요.","그건 그냥 편의점 아르바이트였는데, 면접까지 봤어요.","단순한 편의점 알바였는데, 면접까지 봤어요.",그냥 편의점 아르바이트였는데 면접까지 봤어요.,그냥 편의점 아르바이트였는데 면접까지 봤어요.
33,네 관련된 업체가 한정이 됐는지 아닌지 궁금해서요,I'm curious as to whether the companies involved are limited or not.,2,참여한 회사들이 유한회사인지 아닌지 궁금합니다.,참여한 회사들이 유한회사인지 아닌지 궁금합니다.,관련 회사들이 한정되어 있는지 궁금합니다.,관련 회사가 제한적인지 궁금합니다.,관련 회사들이 제한적인지 아닌지 궁금합니다.
34,엥? 아니야,Huh? No,1,어? 아니요.,응? 아니요,어? 아니요.,허? 아니요,어? 아니요
35,제가 더 감사합니다 더 다른 문의사항 있으십니까,I appreciate it. Do you have any other questions?,2,감사합니다. 다른 질문이 있으신가요?,감사합니다. 다른 질문 있으신가요?,감사드립니다. 다른 질문 있으신가요?,감사합니다. 다른 질문이 있으신가요?,감사합니다. 다른 질문 있으신가요?
36,그리고 제가 개명도 해서 이름도 다릅니다,"And I changed my name, so my name is different.",2,그리고 제 이름을 바꿔서 이제 이름이 다릅니다.,그리고 제 이름을 바꿔서 이제 제 이름이 다릅니다.,그리고 제 이름을 바꿔서 이름이 달라졌습니다.,그리고 제 이름을 바꿔서 이름이 다릅니다.,"그리고 제 이름을 바꿨어요, 그래서 이름이 다릅니다."
37,지금 바로 연결해 드릴 수 있습니다,I can connect you right now,2,지금 바로 연결해 드릴 수 있습니다.,지금 바로 연결해 드릴 수 있습니다.,지금 바로 연결해 드릴 수 있어요.,지금 연결해 드릴 수 있습니다,지금 바로 연결해 드리겠습니다
38,그러면은 과가 이렇게 전화번호가 나오네요,"Then, the phone number will appear like this.",2,그 다음에 전화번호는 이렇게 나타날 것입니다.,그 다음에 전화번호는 이렇게 나타날 것입니다.,그러면 이렇게 번호가 나타날 거예요.,그러면 전화번호는 이렇게 나타납니다.,그러면 전화번호가 이렇게 보일 거예요.
39,네 선생님 기다려주셔서 감사합니다 실례지만 어느 지역이십니까,"Yes, thank you for waiting. Excuse me, but where are you from?",2,"네, 기다려주셔서 감사합니다. 죄송하지만, 어디서 오셨나요?","네, 기다려주셔서 감사합니다. 죄송한데요, 어디서 오셨나요?","네, 기다려 주셔서 감사합니다. 실례지만 어디서 오셨나요?","네, 기다려 주셔서 감사합니다. 실례지만 어디 출신이신가요?","네, 기다려 주셔서 감사합니다. 실례지만 어디에서 오셨나요?"
40,선생님 오래 기다리게 해 드려 정말 죄송합니다,"Teacher, I'm really sorry for keeping you waiting for so long.",2,"선생님, 오랫동안 기다리게 해서 정말 죄송합니다.","선생님, 오래 기다리게 해서 정말 죄송합니다.","선생님, 오래 기다리게 해서 정말 죄송합니다.","선생님, 오래 기다리게 해드려서 정말 죄송합니다.","선생님, 오래 기다리게 해서 정말 죄송합니다."
41,오오 그러면 모르는 사람들이랑 하는 거야?,"Oh, so you're doing it with people you don't know?",1,"오, 그러니까 모르는 사람들이랑 같이 하는 거네?","아, 그러니까 모르는 사람들과 같이 하는 거구나?","아, 낯선 사람들과 함께 하시는 거예요?","아, 모르는 사람들과 하는 거군요?","아, 그래서 모르는 사람들하고 하는 거예요?"
42,네 알겠습니다 주사님 감사합니다,"Yes, I understand. Thank you, sir.",2,"네, 알겠습니다. 감사합니다, 선생님.","네, 알겠습니다. 감사합니다, 선생님.","네, 알겠습니다. 감사합니다.","네, 이해했습니다. 감사합니다, 선생님.","네, 이해했습니다. 감사합니다."
43,네 문자 발송 부탁 드립니다,Please send me your text,2,텍스트를 보내주세요.,텍스트를 보내주세요.,저에게 문자로 보내주세요.,문자 보내주세요,텍스트 보내주세요
44,그때 전화 받으신 분의 정확한 성함은 모르시죠,I don't know the exact name of the person who answered the phone at that time.,2,그 당시 전화를 받은 사람의 정확한 이름은 모릅니다.,그 당시 전화를 받은 사람의 정확한 이름은 모릅니다.,당시 전화를 받으신 분의 정확한 이름을 모르겠어요.,그 당시 전화를 받은 사람의 정확한 이름은 모릅니다.,당시 전화를 받은 사람의 정확한 이름을 모릅니다.
45,응 비행기표는 인당 왕복 3만원 정도? 하하,"Yeah, round trip plane tickets are about 30,000 won per person? Haha",1,"네, 편도 항공권이 약 3만 원 정도인가요? 하하","네, 편도 비행기 티켓이 약 3만 원 정도인가요? 하하","네, 왕복 비행기 티켓이 1인당 약 30,000원이죠? 하하.",왕복 항공권은 1인당 약 3만 원이죠? 하하,"네, 왕복 비행기 표는 1인당 약 3만 원 정도? 하하"
46,학교의 자율성을 허용하지만 가급적 학년 별로 구분하여 운영해요,"We allow schools autonomy, but we try to operate them by grade level as much as possible.",2,"학교에 자율성을 부여하지만, 가능한 한 학년별로 운영하려고 노력합니다.","학교에 자율성을 부여하지만, 가능한 한 학년별로 운영하려고 노력합니다.","학교 자율성을 인정하지만, 가능한 학년별로 운영하려고 노력합니다.",학교에 자율성을 부여하지만 가급적 학년별로 운영하려고 노력합니다.,"학교에 자율성을 허용하지만, 최대한 학년별로 운영하려고 노력합니다."
47,일단은 여기 물어보죠 네 고맙습니다,"Let me ask here first. Yes, thank you.",2,"먼저 여기에 물어보겠습니다. 네, 감사합니다.","먼저 여기에 물어보겠습니다. 네, 감사합니다.","먼저 여기서 알아볼게요. 네, 감사합니다.","여기서 먼저 물어볼게요. 네, 감사합니다.","여기서 먼저 물어보겠습니다. 네, 감사합니다."
48,우리는 밖에 냥이들 있음,We have cats outside,1,고양이들이 밖에 있습니다.,우리 집 밖에 고양이가 있어요.,외부에 고양이가 있습니다.,밖에 고양이가 있어요,밖에 고양이들 있어요
49,행복한 하루 시작 #@소속# 상담원 #@이름#입니다,Start a happy day #@Affiliation# Counselor #@Name#,2,행복한 하루를 시작하세요 #@Affiliation# 상담사 #@Name#,행복한 하루를 시작하세요 #@Affiliation# 상담사 #@Name#,행복한 하루를 시작하세요. #@Affiliation# 상담사 #@Name#,행복한 하루 시작하세요 #@Affiliation# 상담사 #@Name#,즐거운 하루 되세요 #@소속# 상담원 #@이름#
50,그렇다면 접속이 가능한 시점에 선생님께 확인 전화를 드릴까요,"Then, shall I call you to confirm when I can connect?",2,그러면 제가 연결 가능한 시간을 확인하기 위해 전화드려도 될까요?,그 다음에 확인 전화를 드릴까요? 제가 연결할 수 있을 때요.,그러면 연결 가능한 시간에 확인 전화 드릴까요?,그럼 연결 가능 여부를 확인하기 위해 전화 드릴까요?,"그러면, 연결할 수 있을 때 확인 차 전화드릴까요?"
51,도로 교통과 확인되어 바로 연결하겠습니다,We will connect you right away after confirming with road traffic.,2,도로 교통과 확인 후 바로 연결해 드리겠습니다.,도로 교통과 확인 후 바로 연결해 드리겠습니다.,도로 교통과 확인 후 바로 연결해 드리겠습니다.,도로 교통 확인 후 바로 연결해 드리겠습니다.,도로 교통 확인 후 바로 연결해 드리겠습니다.
52,청렴한 사회를 위한 상담사 #@이름# 입니다,"I am #@Name#, a counselor for a clean society.",2,"저는 깨끗한 사회를 위한 상담사입니다, #@Name#님.","저는 깨끗한 사회를 위한 상담사입니다, #@Name@#.",저는 #@Name#이고 깨끗한 사회 상담사입니다.,저는 깨끗한 사회를 위한 상담사 #@Name#입니다.,"저는 #@이름#, 깨끗한 사회를 위한 상담원입니다."
53,오오 케이크는 레터링 케이크?,"Oh, the cake is a lettering cake?",1,"오, 케이크가 레터링 케이크야?","오, 케이크가 레터링 케이크인가요?","아, 케이크는 레터링 케이크인가요?","아, 케이크가 레터링 케이크인가요?","아, 케이크가 레터링 케이크인가요?"
54,각 부서에서 직접 민원을 담당한다고요,Each department is directly responsible for handling complaints.,2,각 부서는 직접적으로 불만 사항을 처리할 책임이 있습니다.,각 부서는 직접적으로 불만 사항을 처리할 책임이 있습니다.,각 부서가 직접 민원을 처리할 책임이 있습니다.,각 부서는 불만 사항 처리를 직접 담당합니다.,각 부서는 민원 처리에 직접 책임을 집니다.
55,네 그러십니까 도청에서 압류를 하신 부분이십니까,"Yes, is that right? Is that the part that was seized by the wiretapping?",2,"네, 맞나요? 그게 도청으로 압수된 부분인가요?","네, 맞나요? 그게 도청으로 압수된 부분인가요?","네, 맞나요? 도청된 부분이 그 부분인가요?","네, 맞나요? 도청당한 부분이 그 부분인가요?","네, 맞나요? 통신 감청으로 압수된 부분인가요?"
56,잠시만 기다려 주시겠습니까,Could you please wait a moment?,2,잠시만 기다려 주세요.,잠시만 기다려 주세요.,잠시만 기다려 주실 수 있을까요?,잠시만 기다려 주시겠어요?,잠시만 기다려 주시겠어요?
57,그때 셔틀버스 있어서 거기로 갔을 거야,"There was a shuttle bus at that time, so I went there.",1,그 때 셔틀 버스가 있어서 그곳에 갔습니다.,그 당시 셔틀 버스가 있어서 거기에 갔어요.,그 당시 셔틀버스가 있어서 갔어요.,그때 셔틀버스가 있어서 거기로 갔어요.,그때 셔틀버스가 있었어서 그쪽으로 갔어요.
58,그래 그래,Yeah yeah,1,"네, 네",네네,네 네.,네 네,네 네
59,요즘에 뭐 봐?,What are you watching these days?,1,요즘 뭐 보고 있어?,요즘 뭐 보고 있어?,요즘 뭐 보고 있어요?,요즘 뭐 보고 계세요?,요즘 뭐 보고 있어요?
60,너 거기 단골 미용실이야?,Is that your regular beauty salon?,1,그곳이 평소 다니시는 미용실인가요?,그곳이 정기적으로 다니는 미용실인가요?,단골 미용실인가요?,그게 당신의 단골 미용실인가요?,그게 네 평소 미용실이에요?
61,그러므로 이천 십 팔 년도에 공고문을 확인 부탁드립니다,"Therefore, please check the notice in the year 2018.",2,"따라서, 2018년 공지사항을 확인해 주시기 바랍니다.",따라서 2018년 공지사항을 확인해 주세요.,따라서 2018년 공지를 확인해 보세요.,따라서 2018년 공지사항을 확인하시기 바랍니다.,그러므로 2018년 공지를 확인해 주세요.
62,선생님 그 부분 관련해서는 #@이름#으로 신고를 해주시면 더 좋으실 듯합니다,"Teacher, I think it would be better if you reported that part to #@name#",2,"선생님, 그 부분은 #@name#에게 보고하시면 좋을 것 같습니다.","선생님, 그 부분은 #@name#에게 보고하는 것이 더 좋을 것 같습니다.","선생님, 해당 부분을 #@name#에게 보고하시면 좋을 것 같아요.","선생님, 그 부분을 #@name#에게 보고하는 것이 좋을 것 같습니다","선생님, #@이름#에게 그 부분을 보고하는 것이 좋을 것 같습니다."
63,내역은 수수료 팔백 원과 우편 등기료 이천오십 원 입니다,The details are a fee of eight hundred won and a postal registration fee of two thousand and fifty won.,2,"세부 사항은 800원의 수수료와 2,050원의 우편 등록비입니다.","세부 사항은 800원의 수수료와 2,050원의 우편 등록료입니다.","자세히는 800원 요금과 2,050원의 우편 등기 요금입니다.",세부 사항은 800원의 수수료와 2050원의 우편 등록비입니다.,"세부 내용은 800원의 수수료와 2,050원의 우편 등록비입니다."
64,나 그때 무도 보고 있었는데 다음 장면으로 넘어가던데?,"I was watching the dance at that time, and then it went to the next scene?",1,"그 당시 춤을 보고 있었는데, 다음 장면으로 넘어갔어요?","그 당시 춤을 보고 있었는데, 그 다음 장면으로 넘어갔어요?",그때 춤을 보다가 다음 장면으로 넘어갔나요?,그 당시 춤을 보고 있었는데 다음 장면으로 넘어가더라고요?,"그때 춤을 보고 있었는데, 그러다 다음 장면으로 넘어갔나요?"
65,맞아,that's right,1,맞습니다.,맞아요,맞아요.,그렇죠,그렇죠
66,혹시 그럼 신재생팀에 계신 분과 통화 가능할까요,"By any chance, could I speak to someone from the Renewable Energy Team?",2,혹시 재생에너지 팀에서 누군가랑 얘기할 수 있을까요?,혹시 재생 에너지 팀의 누군가와 이야기할 수 있을까요?,혹시 재생 가능 에너지 팀과 통화할 수 있을까요?,혹시 재생 에너지팀 담당자와 통화할 수 있을까요?,혹시 신재생에너지팀 담당자와 통화할 수 있을까요?
67,홈페이지를 참고하여 주시면 일정을 확인할 수 있습니다,You can check the schedule by referring to the homepage.,2,홈페이지를 참고하시면 일정을 확인하실 수 있습니다.,홈페이지를 참고하면 일정을 확인할 수 있습니다.,홈페이지를 참고하여 일정을 확인할 수 있습니다.,홈페이지를 참고하여 일정을 확인하실 수 있습니다.,홈페이지를 참고하여 일정을 확인할 수 있습니다.
68,네 그러면 그렇게 해주세요,"Okay, then please do that.",2,알겠습니다. 그렇게 하겠습니다.,"알겠어요, 그러면 그렇게 하세요.","알겠습니다, 그렇게 해주세요.","알겠습니다, 그렇게 해주세요.","알겠습니다, 그렇게 해 주세요."
69,나는 주로 버스를 이용해!,I mostly use the bus!,1,저는 주로 버스를 이용해요!,저는 주로 버스를 이용해요!,저는 주로 버스를 이용해요!,저는 주로 버스를 이용해요!,주로 버스 타요!
70,기다리면 연락 주시는 거 맞죠,"If I wait, you will contact me, right?",2,기다리면 네가 연락할 거지?,기다리고 있으면 네가 나에게 연락할 거지?,제가 기다리면 연락 주시는 거죠?,기다리면 연락 주실 거죠?,기다리면 연락해 주시겠죠?
71,네 아무래도 그렇습니다 말씀 이어 드릴게요,"Yes, I think so. I will continue talking.",2,"네, 그렇게 생각합니다. 계속 말씀드리겠습니다.","네, 그렇게 생각해요. 계속 말할게요.","네, 그런 것 같아요. 계속 이야기하겠습니다.","네, 그럴 것 같습니다. 계속 이야기하겠습니다.","네, 그렇게 하겠습니다. 계속 대화하겠습니다."
72,"아앗, 왜 친구들이랑 갈 수 있잖아","Oh, why can't I go with my friends?",1,"아, 왜 친구들이랑 같이 못 가?","아, 왜 친구들과 같이 갈 수 없지?","아, 왜 친구들과 함께 갈 수 없나요?","아, 왜 친구들과 함께 갈 수 없나요?","아, 왜 친구들이랑 못 가요?"
73,예 맞아요 법인사업자예요,"Yes, that's right, we are a corporate business.",2,"네, 맞습니다. 저희는 기업입니다.","네, 맞아요, 우리는 기업입니다.","네, 맞아요, 저희는 법인 사업입니다.","네, 맞습니다. 저희는 기업 비즈니스입니다.","네, 맞습니다. 우리는 기업체 사업입니다."
74,고물상 하나 운영 중이시지.,"You run a second-hand store, right?",1,중고 가게를 운영하시나요?,중고 가게를 운영하시죠?,중고 가게 운영하시죠?,중고 매장을 운영하시는군요?,중고 가게 운영하시는 거죠?
75,사회복지 그 시설신고증이요,This is a social welfare facility report certificate.,2,이는 사회복지시설 이용 증명서입니다.,이것은 사회복지시설 신고증명서입니다.,여기는 사회복지시설 보고서입니다.,이것은 사회 복지 시설 신고 증명서입니다.,이것은 사회복지시설 신고증입니다.
76,그러면 한 번 알아 봐!,"Well then, let's find out!",1,그럼 확인해 봅시다!,그럼 확인해보자!,"그럼, 알아볼까요!",그럼 알아보도록 하죠!,"그럼, 알아보겠습니다!"
77,이후 해당 학교장이 거주지 확인하여 전학을 허가합니다,"Afterwards, the principal of the school verifies the residence and approves the transfer.",2,그 후에 학교 교장이 거주지를 확인하고 전학을 승인합니다.,그 후에 학교 교장이 거주지를 확인하고 전학을 승인합니다.,이후 학교장이 거주지를 확인하고 전학을 승인합니다.,이후 학교장이 거주지를 확인하고 전학을 승인합니다.,이후 학교 교장이 거주지를 확인하고 전학을 승인합니다.
78,한국 국적을 취득한 분이 있으실 경우는 교육비 지원이 가능합니다,"If you have acquired Korean citizenship, you can receive support for educational expenses.",2,한국 시민이 되셨다면 교육비 지원을 받을 수 있습니다.,한국 시민이 되었다면 교육비 지원을 받을 수 있습니다.,한국 국적을 취득하셨다면 교육비 지원을 받을 수 있습니다.,한국 국적을 취득한 경우 교육비 지원을 받을 수 있습니다.,한국 국적을 취득했다면 교육비 지원을 받을 수 있습니다.
79,오빠 때도 군부대 안에 식당 같은 거 있었어?,"Oppa, was there something like a restaurant in the military base back then?",1,"오라버니, 그때 군사 기지에 레스토랑 같은 게 있었나요?","오라버니, 그때 군사 기지에 레스토랑 같은 게 있었나요?","오빠, 그때 군부대 안에 식당 같은 게 있었나요?","오빠, 그때 군부대에 식당 같은 게 있었어요?","오빠, 그때 군부대에 식당 같은 게 있었어?"
80,그러니까 그러고 월요병 생겨서 죽겠다더라,That's why I got Monday blues and thought I was going to die.,1,그래서 월요일 블루 때문에 죽을 것 같다고 생각했어요.,그래서 월요일 블루스를 겪고 죽을 것 같다고 생각했어.,그래서 월요병 걸릴 것 같아서 죽는 줄 알았어요.,그래서 월요병에 걸려 죽을 것 같았어요.,그래서 월요병에 걸려 죽을 것 같았어요.
81,너 내가 보여준 속눈썹 연장 화장품 봤어?,Did you see the eyelash extension makeup I showed you?,1,네가 보여준 속눈썹 연장 메이크업 봤어?,내가 보여준 속눈썹 연장 메이크업 봤어?,제가 보여준 속눈썹 연장 메이크업 봤어요?,제가 보여드린 속눈썹 연장 메이크업 보셨어요?,내가 보여준 속눈썹 연장 메이크업 봤어?
82,예 감사합니다 다른 문의사항 있으십니까,"Yes, thank you. Do you have any other questions?",2,"네, 감사합니다. 다른 질문이 있으신가요?","네, 감사합니다. 다른 질문 있으신가요?","네, 감사합니다. 다른 질문 있으신가요?","네, 감사합니다. 다른 질문이 있으신가요?","네, 감사합니다. 다른 질문 있으신가요?"
83,그리고 추가 안내해 드릴 부분이 있습니다,And there is something else I would like to tell you.,2,그리고 제가 당신께 또 하나 말씀드리고 싶은 것이 있습니다.,그리고 내가 너에게 또 하나 말하고 싶은 게 있어.,그리고 말씀드리고 싶은 다른 점이 있습니다.,그리고 또 하고 싶은 말씀이 있습니다.,그리고 말씀드리고 싶은 게 또 있습니다.
84,다운 받아서 너도 미리 예약 해 놔,Download it and reserve it for yourself too,1,그것을 다운로드하고 본인도 예약해 두세요.,그것을 다운로드하고 자신에게도 예약해.,다운로드 받아서 직접 예약해 보세요.,다운로드하시고 직접 예약하세요,다운로드해서 본인도 예약해 두세요
